Dátum,Forrás,Város,Ár,Méret (m2),Cím,Link,Azonosító
2026-04-04 21:41,Duna House,Gardony,78 M Ft,92,Duna House Ház (HZ053112),https://dh.hu/ingatlan/HZ053112/elado-haz-fejer-megye-gardony-csaladias-kornyezetben-kozpont-kozeli!,haz_gardony_78000000_92
2026-04-04 21:41,Duna House,Gardony,74.3 M Ft,113,Duna House Ház (HZ018538),https://dh.hu/ingatlan/HZ018538/elado-haz-fejer-megye-gardony-gardony-kozpont-kozeleben,haz_gardony_74300000_113
2026-04-04 21:41,Duna House,Sukoro,82 M Ft,100,Duna House Ház (HZ048486),https://dh.hu/ingatlan/HZ048486/elado-haz-fejer-megye-sukoro-hangulatos-paraszthaz-a-kozpont-kozeleben,haz_sukoro_82000000_100
2026-04-04 21:41,Duna House,Gardony,89.5 M Ft,110,Duna House Ház (HZ099810),https://dh.hu/ingatlan/HZ099810/elado-haz-fejer-megye-gardony-agard,haz_gardony_89500000_110
2026-04-04 21:41,Duna House,Velence,63 M Ft,100,Duna House Ház (HZ041714),https://dh.hu/ingatlan/HZ041714/elado-haz-fejer-megye-velence-az-ofalu-csodas-utcajaban,haz_velence_63000000_100
2026-04-04 21:41,Duna House,Gardony,89.5 M Ft,140,Duna House Ház (HZ085638),https://dh.hu/ingatlan/HZ085638/elado-haz-fejer-megye-gardony-gardony,haz_gardony_89500000_140
2026-04-04 21:41,Duna House,Sukoro,69.9 M Ft,83,Duna House Ház (HZ079906),https://dh.hu/ingatlan/HZ079906/elado-haz-fejer-megye-sukoro,haz_sukoro_69900000_83
2026-04-04 21:41,Duna House,Pakozd,67.9 M Ft,85,Duna House Ház (HZ026546),https://dh.hu/ingatlan/HZ026546/elado-haz-fejer-megye-pakozd-pakozd-kozpontkozeli,haz_pakozd_67900000_85
2026-04-04 21:41,Duna House,Pakozd,63 M Ft,125,Duna House Ház (HZ015364),https://dh.hu/ingatlan/HZ015364/elado-haz-fejer-megye-pakozd-pakozd-kozpontjaban,haz_pakozd_62999000_125
2026-04-04 21:41,Zenga,Pakozd,89.9 M Ft,180,"Frissítve: 7 napja ❯ 1/11 89,9 M Ft 499 ...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-pakozd/8920372,haz_pakozd_89900000_180
2026-04-04 21:41,Zenga,Sukoro,69.9 M Ft,83,"Frissítve: 3 napja ❯ 1/20 69,9 M Ft 842 ...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-sukoro/8703021,haz_sukoro_69900000_83
2026-04-04 21:41,Zenga,Gardony,85 M Ft,137,Frissítve: 3 napja ❯ 1/14 85 M Ft 620 43...,https://www.zenga.hu/ingatlan/elado-csaladi-haz-gardony/8906147,haz_gardony_85000000_137
2026-04-04 21:41,Zenga,Sukoro,82 M Ft,100,Frissítve: 7 napja ❯ 1/14 82 M Ft 820 00...,https://www.zenga.hu/ingatlan/elado-csaladi-haz-sukoro/8767227,haz_sukoro_82000000_100
2026-04-04 21:41,Zenga,Sukoro,74.9 M Ft,100,"Frissítve: 3 hónapja ❯ 1/12 74,9 M Ft 74...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-sukoro/8701543,haz_sukoro_74900000_100
2026-04-04 21:41,Zenga,Velence,79.9 M Ft,85,"Feltöltve: 20 napja ❯ 1/10 79,9 M Ft 940...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-velence/8928724,haz_velence_79900000_85
2026-04-04 21:41,Zenga,Velence,79.9 M Ft,88,"Frissítve: 3 napja ❯ 1/9 79,9 M Ft 907 9...",https://www.zenga.hu/ingatlan/elado-ikerhaz-velence/8856731,haz_velence_79900000_88
2026-04-04 21:41,Zenga,Velence,83.4 M Ft,125,"Frissítve: ma ❯ 1/9 83,4 M Ft 667 200 Ft...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-velence/8888200,haz_velence_83400000_125
2026-04-04 21:41,Zenga,Velence,79.9 M Ft,164,"Frissítve: ma ❯ 1/20 79,9 M Ft 487 195 F...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-velence/8909280,haz_velence_79900000_164
2026-04-04 21:41,Zenga,Velence,63 M Ft,100,Frissítve: ma ❯ 1/17 63 M Ft 630 000 Ft/...,https://www.zenga.hu/ingatlan/elado-csaladi-haz-velence/8702936,haz_velence_63000000_100
2026-04-04 21:41,Zenga,Gardony,79 M Ft,105,Frissítve: ma ❯ 1/12 79 M Ft 752 381 Ft/...,https://www.zenga.hu/ingatlan/elado-csaladi-haz-gardony/8785109,haz_gardony_79000000_105
2026-04-04 21:41,Zenga,Gardony,89.5 M Ft,110,"Frissítve: ma ❯ 1/20 89,5 M Ft 813 636 F...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-gardony/8932251,haz_gardony_89500000_110
2026-04-04 21:41,Zenga,Velence,74.9 M Ft,88,"Frissítve: ma ❯ 1/9 74,9 M Ft 851 136 Ft...",https://www.zenga.hu/ingatlan/elado-ikerhaz-velence/8831799,haz_velence_74900000_88
2026-04-04 21:41,Zenga,Gardony,74.3 M Ft,113,"Frissítve: ma ❯ 1/20 74,3 M Ft 657 522 F...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-gardony/8714664,haz_gardony_74300000_113
2026-04-04 21:41,Zenga,Sukoro,75 M Ft,100,Frissítve: ma ❯ 1/12 75 M Ft 750 000 Ft/...,https://www.zenga.hu/ingatlan/elado-csaladi-haz-sukoro/8878010,haz_sukoro_75000000_100
2026-04-04 21:41,Zenga,Gardony,75 M Ft,97,Frissítve: ma ❯ 1/15 75 M Ft 773 196 Ft/...,https://www.zenga.hu/ingatlan/elado-csaladi-haz-gardony/8933958,haz_gardony_75000000_97
2026-04-04 21:41,Zenga,Kapolnasnyek,89.9 M Ft,208,"Frissítve: ma ❯ 1/15 89,9 M Ft 432 212 F...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-kapolnasnyek/8702919,haz_kapolnasnyek_89900000_208
2026-04-04 21:41,Zenga,Gardony,89.9 M Ft,102,"Frissítve: ma ❯ 1/20 89,9 M Ft 881 373 F...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-gardony-agard/8633440,haz_gardony_89900000_102
2026-04-05 16:39,Zenga,Kapolnasnyek,89.9 M Ft,208,"Frissítve: 1 napja ❯ 1/15 89,9 M Ft 432 ...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-kapolnasnyek/8702919,haz_kapolnasnyek_89900000_208
2026-04-05 16:39,Zenga,Sukoro,75 M Ft,100,Frissítve: 1 napja ❯ 1/12 75 M Ft 750 00...,https://www.zenga.hu/ingatlan/elado-csaladi-haz-sukoro/8878010,haz_sukoro_75000000_100
2026-04-08 17:05,Jófogás,Ismeretlen,-,-,90 nm-es ház eladó Pákozd,https://ingatlan.jofogas.hu/fejer/90_nm_es_haz_elado_Pakozd_149775125.htm,jf_90_nm_es_haz_elado_Pakozd_149775125
2026-04-08 17:05,Jófogás,Ismeretlen,-,-,Gárdonyi 115 nm-es ház eladó,https://ingatlan.jofogas.hu/fejer/Gardonyi_115_nm_es_haz_elado_159275723.htm,jf_Gardonyi_115_nm_es_haz_elado_159275723
2026-04-08 17:05,Zenga,Gardony,93 M Ft,97,Frissítve: 1 napja ❯ 1/18 93 M Ft 958 76...,https://www.zenga.hu/ingatlan/elado-csaladi-haz-gardony-dinnyes/8937396,haz_gardony_93000000_97
2026-04-09 17:10,Jófogás,Ismeretlen,-,-,Eladó autentikus családi ház Sukorón,https://ingatlan.jofogas.hu/fejer/Elado_autentikus_csaladi_haz_Sukoron_157732897.htm,jf_Elado_autentikus_csaladi_haz_Sukoron_157732897
2026-04-11 16:39,Zenga,Velence,79 M Ft,189,Frissítve: ma ❯ 1/20 79 M Ft 417 989 Ft/...,https://www.zenga.hu/ingatlan/elado-csaladi-haz-velence/8517592,haz_velence_79000000_189
2026-04-11 16:40,Zenga,Velence,69 M Ft,100,Frissítve: 2 napja ❯ 1/14 69 M Ft 690 00...,https://www.zenga.hu/ingatlan/elado-csaladi-haz-velence/8959643,haz_velence_69000000_100
2026-04-13 17:06,Jófogás,Ismeretlen,-,-,Velencei 125 nm-es ház eladó,https://ingatlan.jofogas.hu/fejer/Velencei_125_nm_es_haz_elado_159275551.htm,jf_Velencei_125_nm_es_haz_elado_159275551
2026-04-13 17:06,Jófogás,Ismeretlen,-,-,Gárdonyi eladó 113 nm-es ház,https://ingatlan.jofogas.hu/fejer/Gardonyi_elado_113_nm_es_haz_157119140.htm,jf_Gardonyi_elado_113_nm_es_haz_157119140
2026-04-14 17:11,Duna House,Ismeretlen,-,-,Duna House Ház (HZ060634),https://dh.hu/ingatlan/HZ060634/elado-haz-fejer-megye-sukoro-panoramas,dh_HZ060634
2026-04-15 17:06,Jófogás,Ismeretlen,-,-,Velencei eladó 125 nm-es ház,https://ingatlan.jofogas.hu/fejer/Velencei_elado_125_nm_es_haz_159275551.htm,jf_Velencei_elado_125_nm_es_haz_159275551
2026-04-15 17:06,Jófogás,Ismeretlen,-,-,113 nm-es ház eladó Gárdony,https://ingatlan.jofogas.hu/fejer/113_nm_es_haz_elado_Gardony_157119140.htm,jf_113_nm_es_haz_elado_Gardony_157119140
2026-04-16 17:17,Jófogás,Ismeretlen,-,-,Eladó 125 nm-es ház Velence,https://ingatlan.jofogas.hu/fejer/Elado_125_nm_es_haz_Velence_159275551.htm,jf_Elado_125_nm_es_haz_Velence_159275551
2026-04-16 17:17,Jófogás,Ismeretlen,-,-,Gárdonyi 113 nm-es ház eladó,https://ingatlan.jofogas.hu/fejer/Gardonyi_113_nm_es_haz_elado_157119140.htm,jf_Gardonyi_113_nm_es_haz_elado_157119140
2026-04-16 17:17,Jófogás,Ismeretlen,-,-,Pákozdi 90 nm-es ház eladó,https://ingatlan.jofogas.hu/fejer/Pakozdi_90_nm_es_haz_elado_149775125.htm,jf_Pakozdi_90_nm_es_haz_elado_149775125
2026-04-17 16:57,Zenga,Gardony,69.8 M Ft,115,"Frissítve: 10 napja ❯ 1/16 69,8 M Ft 606...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-gardony/8887962,haz_gardony_69800000_115
2026-04-17 16:57,Zenga,Gardony,93 M Ft,170,Frissítve: 1 napja ❯ 1/14 93 M Ft 547 05...,https://www.zenga.hu/ingatlan/elado-csaladi-haz-gardony/8949851,haz_gardony_93000000_170
2026-04-17 16:57,Zenga,Kapolnasnyek,89 M Ft,93,Frissítve: 1 napja ❯ 1/6 89 M Ft 956 989...,https://www.zenga.hu/ingatlan/elado-csaladi-haz-kapolnasnyek/8773808,haz_kapolnasnyek_89000000_93
2026-04-17 16:57,Zenga,Kapolnasnyek,90 M Ft,93,Frissítve: 1 napja ❯ 1/6 90 M Ft 967 742...,https://www.zenga.hu/ingatlan/elado-csaladi-haz-kapolnasnyek/8773809,haz_kapolnasnyek_90000000_93
2026-04-17 16:57,Zenga,Gardony,65 M Ft,106,Frissítve: ma ❯ 1/20 65 M Ft 613 208 Ft/...,https://www.zenga.hu/ingatlan/elado-csaladi-haz-gardony/8817735,haz_gardony_65000000_106
2026-04-17 16:57,Zenga,Velence,84.9 M Ft,110,"Feltöltve: ma ❯ 1/20 84,9 M Ft 771 818 F...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-velence/8975108,haz_velence_84900000_110
2026-04-17 16:57,Zenga,Sukoro,91.2 M Ft,122,"Frissítve: ma ❯ 1/20 91,17 M Ft 747 315 ...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-sukoro/7818188,haz_sukoro_91170000_122
2026-04-18 16:43,Zenga,Sukoro,87 M Ft,110,Feltöltve: ma 1 87 M Ft 790 909 Ft/m² El...,https://www.zenga.hu/ingatlan/elado-csaladi-haz-sukoro/8976300,haz_sukoro_87000000_110
2026-04-18 16:43,Zenga,Gardony,62 M Ft,106,Feltöltve: ma ❯ 1/20 62 M Ft 584 906 Ft/...,https://www.zenga.hu/ingatlan/elado-csaladi-haz-gardony/8975692,haz_gardony_62000000_106
2026-04-18 16:43,Zenga,Sukoro,91 M Ft,122,"Frissítve: ma ❯ 1/20 90,97 M Ft 745 635 ...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-sukoro/7818188,haz_sukoro_90970000_122
2026-04-20 17:06,Zenga,Velence,85 M Ft,97,Frissítve: ma ❯ 1/20 85 M Ft 876 289 Ft/...,https://www.zenga.hu/ingatlan/elado-sorhaz-velence/7926863,haz_velence_85000000_97
2026-04-21 17:04,Jófogás,Ismeretlen,-,-,100 nm-es ház eladó Gárdony,https://ingatlan.jofogas.hu/fejer/100_nm_es_haz_elado_Gardony_159250164.htm,jf_100_nm_es_haz_elado_Gardony_159250164
2026-04-21 17:05,Jófogás,Ismeretlen,-,-,Rusztikus álom ház Sukorón.,https://ingatlan.jofogas.hu/fejer/Rusztikus_alom_haz_Sukoron__146595326.htm,jf_Rusztikus_alom_haz_Sukoron__146595326
2026-04-21 17:05,Jófogás,Ismeretlen,-,-,"Pákozd köpontjában, 85m2 felújítandó ház, hatalmas telken",https://ingatlan.jofogas.hu/fejer/Pakozd_kopontjaban__85m2_felujitando_haz__hatalmas_telken_146595255.htm,jf_Pakozd_kopontjaban__85m2_felujitando_haz__hatalmas_telken_146595255
2026-04-21 17:05,Duna House,Velence,78.7 M Ft,125,Duna House Ház (HZ043456),https://dh.hu/ingatlan/HZ043456/elado-haz-fejer-megye-velence-vasutallomas-kozeli,haz_velence_78700000_125
2026-04-22 17:03,Jófogás,Ismeretlen,-,-,125 nm-es ház eladó Velence,https://ingatlan.jofogas.hu/fejer/125_nm_es_haz_elado_Velence_159275551.htm,jf_125_nm_es_haz_elado_Velence_159275551
2026-04-22 17:03,Jófogás,Ismeretlen,-,-,Pákozdi eladó 90 nm-es ház,https://ingatlan.jofogas.hu/fejer/Pakozdi_elado_90_nm_es_haz_149775125.htm,jf_Pakozdi_elado_90_nm_es_haz_149775125
2026-04-22 17:04,Zenga,Sukoro,90.5 M Ft,122,"Frissítve: ma ❯ 1/20 90,46 millió Ft 741...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-sukoro/7818188,haz_sukoro_90460000_122
2026-04-26 16:45,Jófogás,Ismeretlen,-,-,Eladó 97 nm-es ház Gárdony,https://ingatlan.jofogas.hu/fejer/Elado_97_nm_es_haz_Gardony_159385322.htm,jf_Elado_97_nm_es_haz_Gardony_159385322
2026-04-27 17:24,Jófogás,Ismeretlen,-,-,90 nm-es ház eladó Sukoró,https://ingatlan.jofogas.hu/fejer/90_nm_es_haz_elado_Sukoro_159075777.htm,jf_90_nm_es_haz_elado_Sukoro_159075777
2026-04-27 17:24,Jófogás,Ismeretlen,-,-,Gárdonyi eladó 92 nm-es ház,https://ingatlan.jofogas.hu/fejer/Gardonyi_elado_92_nm_es_haz_157553910.htm,jf_Gardonyi_elado_92_nm_es_haz_157553910
2026-04-27 17:24,Duna House,Gardony,69 M Ft,113,Duna House Ház (HZ018538),https://dh.hu/ingatlan/HZ018538/elado-haz-fejer-megye-gardony-gardony-kozpont-kozeleben,haz_gardony_69000000_113
2026-04-28 17:48,Zenga,Kapolnasnyek,85 M Ft,112,"Frissítve: ma 15 85 millió Ft 758,9 ezer...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-kapolnasnyek/8601082,haz_kapolnasnyek_85000000_112
2026-04-28 17:48,Zenga,Pakozd,81.6 M Ft,81,"Frissítve: ma 9 81,6 millió Ft 1,01 mill...",https://www.zenga.hu/ingatlan/elado-ikerhaz-pakozd/8934464,haz_pakozd_81600000_81
2026-04-29 17:41,Jófogás,Ismeretlen,-,-,Sukorói 100 nm-es ház eladó,https://ingatlan.jofogas.hu/fejer/Sukoroi_100_nm_es_haz_elado_160268530.htm,jf_Sukoroi_100_nm_es_haz_elado_160268530
2026-04-29 17:41,Jófogás,Ismeretlen,-,-,Velencei eladó 125 nm-es ház,https://ingatlan.jofogas.hu/fejer/Velencei_elado_125_nm_es_haz_160148875.htm,jf_Velencei_elado_125_nm_es_haz_160148875
2026-04-30 17:23,Jófogás,Ismeretlen,-,-,Eladó 100 nm-es ház Sukoró,https://ingatlan.jofogas.hu/fejer/Elado_100_nm_es_haz_Sukoro_160268530.htm,jf_Elado_100_nm_es_haz_Sukoro_160268530
2026-04-30 17:23,Zenga,Gardony,80.9 M Ft,83,"Frissítve: 1 napja ❯ 1/11 80,9 millió Ft...",https://www.zenga.hu/ingatlan/elado-ikerhaz-gardony/8852283,haz_gardony_80900000_83
2026-05-01 16:59,Jófogás,Ismeretlen,-,-,100 nm-es ház eladó Sukoró,https://ingatlan.jofogas.hu/fejer/100_nm_es_haz_elado_Sukoro_160268530.htm,jf_100_nm_es_haz_elado_Sukoro_160268530
2026-05-01 16:59,Jófogás,Ismeretlen,-,-,125 nm-es ház eladó Velence,https://ingatlan.jofogas.hu/fejer/125_nm_es_haz_elado_Velence_160148875.htm,jf_125_nm_es_haz_elado_Velence_160148875
2026-05-04 17:43,Jófogás,Ismeretlen,-,-,Sukorói eladó 100 nm-es ház,https://ingatlan.jofogas.hu/fejer/Sukoroi_elado_100_nm_es_haz_160268530.htm,jf_Sukoroi_elado_100_nm_es_haz_160268530
2026-05-04 17:43,Jófogás,Ismeretlen,-,-,Velencei 125 nm-es ház eladó,https://ingatlan.jofogas.hu/fejer/Velencei_125_nm_es_haz_elado_160148875.htm,jf_Velencei_125_nm_es_haz_elado_160148875
2026-05-04 17:43,Zenga,Pakozd,87.4 M Ft,180,"Frissítve: ma ❯ 1/11 87,4 millió Ft 485,...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-pakozd/8920372,haz_pakozd_87400000_180
2026-05-05 17:28,Jófogás,Ismeretlen,-,-,95 nm-es ház eladó Gárdony,https://ingatlan.jofogas.hu/fejer/95_nm_es_haz_elado_Gardony_160332532.htm,jf_95_nm_es_haz_elado_Gardony_160332532
2026-05-06 17:42,Zenga,Sukoro,90 M Ft,92,Feltöltve: 1 napja ❯ 1/9 90 millió Ft 97...,https://www.zenga.hu/ingatlan/elado-csaladi-haz-sukoro/8995674,haz_sukoro_90000000_92
2026-05-06 17:42,Zenga,Velence,74.9 M Ft,85,"Frissítve: 1 napja ❯ 1/10 74,9 millió Ft...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-velence/8928724,haz_velence_74900000_85
2026-05-06 17:42,Zenga,Pakozd,90 M Ft,130,"Frissítve: 1 napja ❯ 1/20 89,99 millió F...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-pakozd/8890698,haz_pakozd_89990000_130
2026-05-07 17:49,Jófogás,Ismeretlen,-,-,Gárdonyi 95 nm-es ház eladó,https://ingatlan.jofogas.hu/fejer/Gardonyi_95_nm_es_haz_elado_160179372.htm,jf_Gardonyi_95_nm_es_haz_elado_160179372
2026-05-07 17:49,Jófogás,Ismeretlen,-,-,90 nm-es ház eladó Sukoró,https://ingatlan.jofogas.hu/fejer/90_nm_es_haz_elado_Sukoro_160204920.htm,jf_90_nm_es_haz_elado_Sukoro_160204920
2026-05-08 17:20,Jófogás,Ismeretlen,-,-,Eladó 95 nm-es ház Gárdony,https://ingatlan.jofogas.hu/fejer/Elado_95_nm_es_haz_Gardony_160179372.htm,jf_Elado_95_nm_es_haz_Gardony_160179372
2026-05-09 16:57,Jófogás,Ismeretlen,-,-,Gárdonyi eladó 95 nm-es ház,https://ingatlan.jofogas.hu/fejer/Gardonyi_elado_95_nm_es_haz_160179372.htm,jf_Gardonyi_elado_95_nm_es_haz_160179372
2026-05-09 16:57,Zenga,Velence,89.9 M Ft,140,"Frissítve: ma ❯ 11 89,9 millió Ft 642,1 ...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-velence/8713940,haz_velence_89900000_140
2026-05-09 16:57,Zenga,Sukoro,67.9 M Ft,96,"Frissítve: ma ❯ 16 67,89 millió Ft 707,2...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-sukoro/8959830,haz_sukoro_67890000_96
2026-05-09 16:57,Zenga,Velence,74.9 M Ft,90,"Frissítve: ma ❯ 15 74,9 millió Ft 832,2 ...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-velence/8920042,haz_velence_74900000_90
2026-05-09 16:57,Zenga,Velence,77.9 M Ft,88,"Frissítve: ma ❯ 12 77,9 millió Ft 885,2 ...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-velence/8921475,haz_velence_77900000_88
2026-05-09 16:57,Zenga,Velence,89.9 M Ft,170,"Frissítve: ma ❯ 20 89,9 millió Ft 528,8 ...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-velence-ofalu/8614073,haz_velence_89900000_170
2026-05-11 17:56,Jófogás,Ismeretlen,-,-,Eladó 106 nm-es ház Gárdony,https://ingatlan.jofogas.hu/fejer/Elado_106_nm_es_haz_Gardony_160108425.htm,jf_Elado_106_nm_es_haz_Gardony_160108425
2026-05-11 17:56,Jófogás,Ismeretlen,-,-,Eladó 100 nm-es ház Velence,https://ingatlan.jofogas.hu/fejer/Elado_100_nm_es_haz_Velence_155021916.htm,jf_Elado_100_nm_es_haz_Velence_155021916
2026-05-11 17:56,Jófogás,Ismeretlen,-,-,86 nm-es ház eladó Sukoró,https://ingatlan.jofogas.hu/fejer/86_nm_es_haz_elado_Sukoro_157427770.htm,jf_86_nm_es_haz_elado_Sukoro_157427770
2026-05-12 18:00,Jófogás,Ismeretlen,-,-,Gárdonyi eladó 106 nm-es ház,https://ingatlan.jofogas.hu/fejer/Gardonyi_elado_106_nm_es_haz_160108425.htm,jf_Gardonyi_elado_106_nm_es_haz_160108425
2026-05-12 18:00,Jófogás,Ismeretlen,-,-,Velencei 100 nm-es ház eladó,https://ingatlan.jofogas.hu/fejer/Velencei_100_nm_es_haz_elado_155021916.htm,jf_Velencei_100_nm_es_haz_elado_155021916
2026-05-12 18:01,Jófogás,Ismeretlen,-,-,Sukorói 86 nm-es ház eladó,https://ingatlan.jofogas.hu/fejer/Sukoroi_86_nm_es_haz_elado_157427770.htm,jf_Sukoroi_86_nm_es_haz_elado_157427770
2026-05-12 18:01,Duna House,Gardony,89.5 M Ft,107,Duna House Ház (HZ054294),"https://dh.hu/ingatlan/HZ054294/elado-haz-fejer-megye-gardony-a-parkerdo-szomszedsagaban,-csendes-utcaban",haz_gardony_89500000_107
2026-05-13 18:03,Jófogás,Ismeretlen,-,-,106 nm-es ház eladó Gárdony,https://ingatlan.jofogas.hu/fejer/106_nm_es_haz_elado_Gardony_160108425.htm,jf_106_nm_es_haz_elado_Gardony_160108425
2026-05-13 18:03,Jófogás,Ismeretlen,-,-,Velencei eladó 100 nm-es ház,https://ingatlan.jofogas.hu/fejer/Velencei_elado_100_nm_es_haz_155021916.htm,jf_Velencei_elado_100_nm_es_haz_155021916
2026-05-14 17:51,Jófogás,Ismeretlen,-,-,Eladó 100 nm-es ház Sukoró,https://ingatlan.jofogas.hu/fejer/Elado_100_nm_es_haz_Sukoro_159467582.htm,jf_Elado_100_nm_es_haz_Sukoro_159467582
2026-05-14 17:52,Jófogás,Ismeretlen,-,-,Eladó 115 nm-es ház Gárdony,https://ingatlan.jofogas.hu/fejer/Elado_115_nm_es_haz_Gardony_159275723.htm,jf_Elado_115_nm_es_haz_Gardony_159275723
2026-05-14 17:52,Jófogás,Ismeretlen,-,-,Sukorói eladó 86 nm-es ház,https://ingatlan.jofogas.hu/fejer/Sukoroi_elado_86_nm_es_haz_157427770.htm,jf_Sukoroi_elado_86_nm_es_haz_157427770
2026-05-14 17:52,Duna House,Sukoro,79 M Ft,100,Duna House Ház (HZ048486),https://dh.hu/ingatlan/HZ048486/elado-haz-fejer-megye-sukoro-hangulatos-paraszthaz-a-kozpont-kozeleben,haz_sukoro_79000000_100
2026-05-15 17:29,Jófogás,Ismeretlen,-,-,Sukorói 100 nm-es ház eladó,https://ingatlan.jofogas.hu/fejer/Sukoroi_100_nm_es_haz_elado_159467582.htm,jf_Sukoroi_100_nm_es_haz_elado_159467582
2026-05-15 17:29,Jófogás,Ismeretlen,-,-,Eladó 125 nm-es ház Velence,https://ingatlan.jofogas.hu/fejer/Elado_125_nm_es_haz_Velence_160148875.htm,jf_Elado_125_nm_es_haz_Velence_160148875
2026-05-15 17:29,Zenga,Pakozd,81 M Ft,98,Frissítve: 1 napja ❯ 1/12 81 millió Ft 8...,https://www.zenga.hu/ingatlan/elado-csaladi-haz-pakozd/9009251,haz_pakozd_81000000_98
2026-05-15 17:29,Zenga,Velence,79.9 M Ft,90,"Frissítve: ma ❯ 1/7 79,9 millió Ft 887,8...",https://www.zenga.hu/ingatlan/elado-ikerhaz-velence-velencefurdo/9001688,haz_velence_79900000_90
2026-05-15 17:29,Zenga,Velence,75 M Ft,82,"Frissítve: ma ❯ 1/10 75 millió Ft 914,6 ...",https://www.zenga.hu/ingatlan/elado-ikerhaz-velence/8817549,haz_velence_75000000_82
2026-05-16 17:00,Jófogás,Ismeretlen,-,-,Eladó 113 nm-es ház Gárdony,https://ingatlan.jofogas.hu/fejer/Elado_113_nm_es_haz_Gardony_157119140.htm,jf_Elado_113_nm_es_haz_Gardony_157119140
2026-05-16 17:00,Jófogás,Ismeretlen,-,-,Sukorói eladó 100 nm-es ház,https://ingatlan.jofogas.hu/fejer/Sukoroi_elado_100_nm_es_haz_159467582.htm,jf_Sukoroi_elado_100_nm_es_haz_159467582
