Dátum,Forrás,Város,Ár,Méret (m2),Cím,Link,Azonosító
2026-04-04 21:41,Duna House,Gardony,78 M Ft,92,Duna House Ház (HZ053112),https://dh.hu/ingatlan/HZ053112/elado-haz-fejer-megye-gardony-csaladias-kornyezetben-kozpont-kozeli!,haz_gardony_78000000_92
2026-04-04 21:41,Duna House,Gardony,74.3 M Ft,113,Duna House Ház (HZ018538),https://dh.hu/ingatlan/HZ018538/elado-haz-fejer-megye-gardony-gardony-kozpont-kozeleben,haz_gardony_74300000_113
2026-04-04 21:41,Duna House,Sukoro,82 M Ft,100,Duna House Ház (HZ048486),https://dh.hu/ingatlan/HZ048486/elado-haz-fejer-megye-sukoro-hangulatos-paraszthaz-a-kozpont-kozeleben,haz_sukoro_82000000_100
2026-04-04 21:41,Duna House,Gardony,89.5 M Ft,110,Duna House Ház (HZ099810),https://dh.hu/ingatlan/HZ099810/elado-haz-fejer-megye-gardony-agard,haz_gardony_89500000_110
2026-04-04 21:41,Duna House,Velence,63 M Ft,100,Duna House Ház (HZ041714),https://dh.hu/ingatlan/HZ041714/elado-haz-fejer-megye-velence-az-ofalu-csodas-utcajaban,haz_velence_63000000_100
2026-04-04 21:41,Duna House,Gardony,89.5 M Ft,140,Duna House Ház (HZ085638),https://dh.hu/ingatlan/HZ085638/elado-haz-fejer-megye-gardony-gardony,haz_gardony_89500000_140
2026-04-04 21:41,Duna House,Sukoro,69.9 M Ft,83,Duna House Ház (HZ079906),https://dh.hu/ingatlan/HZ079906/elado-haz-fejer-megye-sukoro,haz_sukoro_69900000_83
2026-04-04 21:41,Duna House,Pakozd,67.9 M Ft,85,Duna House Ház (HZ026546),https://dh.hu/ingatlan/HZ026546/elado-haz-fejer-megye-pakozd-pakozd-kozpontkozeli,haz_pakozd_67900000_85
2026-04-04 21:41,Duna House,Pakozd,63 M Ft,125,Duna House Ház (HZ015364),https://dh.hu/ingatlan/HZ015364/elado-haz-fejer-megye-pakozd-pakozd-kozpontjaban,haz_pakozd_62999000_125
2026-04-04 21:41,Zenga,Pakozd,89.9 M Ft,180,"Frissítve: 7 napja ❯ 1/11 89,9 M Ft 499 ...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-pakozd/8920372,haz_pakozd_89900000_180
2026-04-04 21:41,Zenga,Sukoro,69.9 M Ft,83,"Frissítve: 3 napja ❯ 1/20 69,9 M Ft 842 ...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-sukoro/8703021,haz_sukoro_69900000_83
2026-04-04 21:41,Zenga,Gardony,85 M Ft,137,Frissítve: 3 napja ❯ 1/14 85 M Ft 620 43...,https://www.zenga.hu/ingatlan/elado-csaladi-haz-gardony/8906147,haz_gardony_85000000_137
2026-04-04 21:41,Zenga,Sukoro,82 M Ft,100,Frissítve: 7 napja ❯ 1/14 82 M Ft 820 00...,https://www.zenga.hu/ingatlan/elado-csaladi-haz-sukoro/8767227,haz_sukoro_82000000_100
2026-04-04 21:41,Zenga,Sukoro,74.9 M Ft,100,"Frissítve: 3 hónapja ❯ 1/12 74,9 M Ft 74...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-sukoro/8701543,haz_sukoro_74900000_100
2026-04-04 21:41,Zenga,Velence,79.9 M Ft,85,"Feltöltve: 20 napja ❯ 1/10 79,9 M Ft 940...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-velence/8928724,haz_velence_79900000_85
2026-04-04 21:41,Zenga,Velence,79.9 M Ft,88,"Frissítve: 3 napja ❯ 1/9 79,9 M Ft 907 9...",https://www.zenga.hu/ingatlan/elado-ikerhaz-velence/8856731,haz_velence_79900000_88
2026-04-04 21:41,Zenga,Velence,83.4 M Ft,125,"Frissítve: ma ❯ 1/9 83,4 M Ft 667 200 Ft...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-velence/8888200,haz_velence_83400000_125
2026-04-04 21:41,Zenga,Velence,79.9 M Ft,164,"Frissítve: ma ❯ 1/20 79,9 M Ft 487 195 F...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-velence/8909280,haz_velence_79900000_164
2026-04-04 21:41,Zenga,Velence,63 M Ft,100,Frissítve: ma ❯ 1/17 63 M Ft 630 000 Ft/...,https://www.zenga.hu/ingatlan/elado-csaladi-haz-velence/8702936,haz_velence_63000000_100
2026-04-04 21:41,Zenga,Gardony,79 M Ft,105,Frissítve: ma ❯ 1/12 79 M Ft 752 381 Ft/...,https://www.zenga.hu/ingatlan/elado-csaladi-haz-gardony/8785109,haz_gardony_79000000_105
2026-04-04 21:41,Zenga,Gardony,89.5 M Ft,110,"Frissítve: ma ❯ 1/20 89,5 M Ft 813 636 F...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-gardony/8932251,haz_gardony_89500000_110
2026-04-04 21:41,Zenga,Velence,74.9 M Ft,88,"Frissítve: ma ❯ 1/9 74,9 M Ft 851 136 Ft...",https://www.zenga.hu/ingatlan/elado-ikerhaz-velence/8831799,haz_velence_74900000_88
2026-04-04 21:41,Zenga,Gardony,74.3 M Ft,113,"Frissítve: ma ❯ 1/20 74,3 M Ft 657 522 F...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-gardony/8714664,haz_gardony_74300000_113
2026-04-04 21:41,Zenga,Sukoro,75 M Ft,100,Frissítve: ma ❯ 1/12 75 M Ft 750 000 Ft/...,https://www.zenga.hu/ingatlan/elado-csaladi-haz-sukoro/8878010,haz_sukoro_75000000_100
2026-04-04 21:41,Zenga,Gardony,75 M Ft,97,Frissítve: ma ❯ 1/15 75 M Ft 773 196 Ft/...,https://www.zenga.hu/ingatlan/elado-csaladi-haz-gardony/8933958,haz_gardony_75000000_97
2026-04-04 21:41,Zenga,Kapolnasnyek,89.9 M Ft,208,"Frissítve: ma ❯ 1/15 89,9 M Ft 432 212 F...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-kapolnasnyek/8702919,haz_kapolnasnyek_89900000_208
2026-04-04 21:41,Zenga,Gardony,89.9 M Ft,102,"Frissítve: ma ❯ 1/20 89,9 M Ft 881 373 F...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-gardony-agard/8633440,haz_gardony_89900000_102
2026-04-05 16:39,Zenga,Kapolnasnyek,89.9 M Ft,208,"Frissítve: 1 napja ❯ 1/15 89,9 M Ft 432 ...",https://www.zenga.hu/ingatlan/elado-csaladi-haz-kapolnasnyek/8702919,haz_kapolnasnyek_89900000_208
2026-04-05 16:39,Zenga,Sukoro,75 M Ft,100,Frissítve: 1 napja ❯ 1/12 75 M Ft 750 00...,https://www.zenga.hu/ingatlan/elado-csaladi-haz-sukoro/8878010,haz_sukoro_75000000_100
